Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude,City
6500,1600,165,3,4,3,2,0,0,0,0,Pinheiros,rent,apartment,-23.5597336,-46.6724716,São Paulo
1600,486,41,1,1,0,1,0,0,1,0,República,rent,apartment,0.0,0.0,São Paulo
3500,800,55,1,2,1,1,1,0,1,0,Brooklin,rent,apartment,-23.620239,-46.695396,São Paulo
14000,2700,242,4,5,4,4,0,1,1,0,Campo Belo,rent,apartment,-23.6214995,-46.6767472,São Paulo
5300,765,56,2,1,0,2,1,1,1,0,Pinheiros,rent,apartment,-23.5613009,-46.6904051,São Paulo
1550,460,46,2,2,1,1,0,0,0,0,Brasilândia,rent,apartment,-23.470429,-46.679779,São Paulo
1200,500,36,1,1,0,1,0,0,1,0,Limão,rent,apartment,-23.4973257,-46.6760311,São Paulo
2400,1200,156,4,4,2,1,1,1,0,0,Mooca,rent,apartment,-23.566658,-46.592797,São Paulo
1400,0,52,2,2,1,1,1,0,0,0,Butantã,rent,apartment,-23.580896,-46.773719,São Paulo
4300,1292,174,3,4,3,2,0,0,1,0,Santana,rent,apartment,-23.4839537,-46.6306614,São Paulo
999,240,60,2,2,1,1,0,0,0,0,Tucuruvi,rent,apartment,-23.465327,-46.603609,São Paulo
1800,200,35,2,2,1,1,1,0,1,0,Vila Leopoldina,rent,apartment,-23.531766,-46.739004,São Paulo
2500,450,65,2,2,1,1,0,1,0,0,Vila Prudente,rent,apartment,-23.599396,-46.576675,São Paulo
8329,3081,257,4,5,4,4,0,0,0,0,Moema,rent,apartment,-23.6081451,-46.6570022,São Paulo
1700,475,68,3,2,1,1,1,0,1,0,São Lucas,rent,apartment,-23.58608,-46.535128,São Paulo
1400,398,53,2,2,1,1,1,0,0,0,Santa Cecília,rent,apartment,-23.536216,-46.651124,São Paulo
700,140,52,2,2,1,1,0,0,0,0,José Bonifácio,rent,apartment,-23.555122,-46.432726,São Paulo
1100,270,50,2,2,1,1,0,0,0,0,José Bonifácio,rent,apartment,-23.544274,-46.442291,São Paulo
1400,631,66,2,1,0,1,0,0,1,0,Tatuapé,rent,apartment,-23.5345701,-46.5789412,São Paulo
4000,783,60,2,2,1,1,0,0,1,0,Consolação,rent,apartment,-23.557615,-46.656012,São Paulo
905,169,30,1,1,0,0,1,0,0,0,Vila Matilde,rent,apartment,0.0,0.0,São Paulo
2400,1003,89,2,2,1,1,0,0,0,0,Pinheiros,rent,apartment,-23.55486,-46.683229,São Paulo
3000,1200,60,2,3,2,2,0,0,1,0,Itaim Bibi,rent,apartment,-23.58247,-46.681652,São Paulo
2900,560,91,2,2,1,2,0,0,0,0,Butantã,rent,apartment,-23.585491,-46.754548,São Paulo
1900,450,60,2,2,1,1,0,0,0,0,Vila Prudente,rent,apartment,-23.584301,-46.587908,São Paulo
2100,630,65,2,2,1,1,1,0,1,0,Anhanguera,rent,apartment,-23.522756,-46.655492,São Paulo
2500,800,73,2,1,0,1,0,0,1,0,Vila Leopoldina,rent,apartment,-23.5314428,-46.7267379,São Paulo
15000,3000,220,3,4,3,4,0,0,1,0,Alto de Pinheiros,rent,apartment,-23.5548377,-46.7146745,São Paulo
1000,352,53,2,2,1,1,1,0,0,0,Itaquera,rent,apartment,-23.523094,-46.447735,São Paulo
3000,1500,135,4,4,1,3,1,0,0,0,Campo Grande,rent,apartment,-23.66552,-46.686232,São Paulo
1800,0,47,2,2,1,1,0,0,1,0,Vila Andrade,rent,apartment,-23.627557,-46.747131,São Paulo
6800,1100,93,2,3,1,2,1,0,1,0,Itaim Bibi,rent,apartment,-23.59323,-46.685277,São Paulo
10000,2000,136,4,4,3,3,1,0,0,0,Brooklin,rent,apartment,-23.6075553,-46.6916043,São Paulo
1700,390,40,1,2,1,1,0,0,0,0,Ipiranga,rent,apartment,-23.582999,-46.60476,São Paulo
900,320,38,2,2,1,1,0,0,0,0,Campo Limpo,rent,apartment,-23.634795,-46.75499,São Paulo
1300,400,42,2,1,0,1,0,0,0,0,Casa Verde,rent,apartment,-23.504791,-46.6609889,São Paulo
1600,768,100,3,3,1,1,0,0,0,0,Freguesia do Ó,rent,apartment,-23.501815,-46.701419,São Paulo
1100,360,62,2,2,1,1,1,0,1,0,Jardim Helena,rent,apartment,-23.534558,-46.429205,São Paulo
1600,556,62,3,2,1,1,1,0,1,0,Cidade Ademar,rent,apartment,-23.665879,-46.675475,São Paulo
5000,2200,165,3,2,1,1,0,0,1,0,Alto de Pinheiros,rent,apartment,0.0,0.0,São Paulo
11500,1980,194,3,4,3,4,0,1,1,0,Campo Belo,rent,apartment,0.0,0.0,São Paulo
1600,640,70,2,1,0,0,1,0,0,0,Liberdade,rent,apartment,-23.5607892,-46.6314551,São Paulo
4500,1102,73,2,2,1,1,0,0,1,0,Santa Cecília,rent,apartment,-23.5435776,-46.6523811,São Paulo
3600,890,94,3,2,1,2,0,0,1,0,Campo Grande,rent,apartment,-23.6606365,-46.6922103,São Paulo
4000,1500,160,3,4,3,3,0,0,0,0,Saúde,rent,apartment,-23.6168576,-46.6229374,São Paulo
1700,573,50,2,1,0,1,0,0,0,0,Saúde,rent,apartment,-23.6150709,-46.6328942,São Paulo
4000,1400,160,3,4,3,3,0,0,1,0,Santana,rent,apartment,-23.4898341,-46.6402713,São Paulo
2500,907,90,2,1,0,1,1,0,1,0,Alto de Pinheiros,rent,apartment,-23.5410804,-46.6982833,São Paulo
3000,1000,126,3,4,3,3,1,0,1,0,Vila Andrade,rent,apartment,-23.628025,-46.734246,São Paulo
1000,650,72,3,2,1,2,0,0,1,0,Aricanduva,rent,apartment,-23.53783,-46.536628,São Paulo
1120,663,59,3,1,0,1,0,0,1,0,Pirituba,rent,apartment,-23.5056862,-46.7454691,São Paulo
1200,531,50,2,1,0,0,0,0,0,0,Brás,rent,apartment,-23.5496265,-46.6200276,São Paulo
1200,892,69,3,2,1,1,0,0,1,0,Freguesia do Ó,rent,apartment,-23.492706,-46.693066,São Paulo
2300,700,96,3,2,1,1,0,0,1,0,Casa Verde,rent,apartment,-23.5097784,-46.6638487,São Paulo
1500,600,60,2,2,1,1,1,1,1,0,Pirituba,rent,apartment,-23.484634,-46.701684,São Paulo
5200,850,76,3,2,1,1,0,1,0,0,Liberdade,rent,apartment,-23.5647137,-46.6390779,São Paulo
2500,991,110,2,2,1,2,1,0,0,0,Perdizes,rent,apartment,-23.533614,-46.685849,São Paulo
1300,277,32,1,1,0,0,0,0,0,0,Santa Cecília,rent,apartment,0.0,0.0,São Paulo
