Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude,City
182900,200,41,2,2,1,1,0,0,0,0,Raposo Tavares,sale,apartment,-23.584741,-46.755327,São Paulo
228000,350,31,1,1,0,1,1,0,0,0,Brás,sale,apartment,0.0,0.0,São Paulo
377800,0,63,3,2,1,1,0,0,1,0,Vila Maria,sale,apartment,-23.518056,-46.583873,São Paulo
250000,0,66,2,2,1,1,0,0,1,0,Medeiros,sale,apartment,-23.184962,-46.985039,São Paulo
385000,350,55,1,2,1,1,1,1,0,0,Bela Vista,sale,apartment,-23.554461,-46.650068,São Paulo
350000,591,60,1,1,0,0,1,0,0,0,Bela Vista,sale,apartment,-23.5529814,-46.6406297,São Paulo
570000,610,68,3,2,1,1,1,0,1,0,Bom Retiro,sale,apartment,-23.524606,-46.647326,São Paulo
2710001,2600,211,3,4,3,3,1,0,0,0,Alto de Pinheiros,sale,apartment,-23.549118,-46.7104,São Paulo
1113000,0,110,3,2,1,2,0,0,1,0,Casa Verde,sale,apartment,-23.5112855,-46.6559603,São Paulo
3250000,3500,190,4,5,2,3,1,0,1,0,Itaim Bibi,sale,apartment,-23.578797,-46.671463,São Paulo
300000,545,53,2,1,0,1,1,0,0,0,Mandaqui,sale,apartment,-23.4730924,-46.6431365,São Paulo
555000,350,75,3,2,1,2,0,1,0,0,São Lucas,sale,apartment,-23.5935075,-46.5445072,São Paulo
200000,350,52,2,2,1,1,1,0,0,0,Jardim São Luis,sale,apartment,-23.655833,-46.747183,São Paulo
245000,0,44,2,2,1,1,0,0,0,0,São Mateus,sale,apartment,-23.610523,-46.459041,São Paulo
326200,0,61,2,2,1,1,1,0,1,0,Sacomã,sale,apartment,-23.613812,-46.597448,São Paulo
289000,0,48,2,1,0,1,0,0,0,0,Carrão,sale,apartment,-23.5519846,-46.5220978,São Paulo
380000,550,49,2,1,0,1,0,0,1,0,Bom Retiro,sale,apartment,0.0,0.0,São Paulo
555000,0,67,2,2,1,1,1,0,1,0,Brooklin,sale,apartment,-23.624665,-46.688734,São Paulo
689000,0,80,3,2,1,2,0,0,0,0,Cursino,sale,apartment,-23.609785,-46.613274,São Paulo
447000,530,63,2,2,1,1,1,1,1,0,Vila Maria,sale,apartment,-23.51901,-46.588694,São Paulo
550000,750,98,3,3,1,2,0,0,1,0,Tucuruvi,sale,apartment,-23.483613,-46.611335,São Paulo
120000,240,48,2,2,1,1,0,0,0,0,Cidade Tiradentes,sale,apartment,-23.569424,-46.419771,São Paulo
399900,350,55,2,2,1,1,1,0,1,0,Lapa,sale,apartment,-23.518417,-46.724258,São Paulo
680000,700,94,2,1,0,1,0,0,0,0,Bela Vista,sale,apartment,-23.5700202,-46.6435088,São Paulo
480000,535,70,3,2,1,1,0,0,0,0,Freguesia do Ó,sale,apartment,-23.500999,-46.700853,São Paulo
298000,300,50,2,2,1,1,1,0,1,0,Vila Maria,sale,apartment,-23.517973,-46.585894,São Paulo
202000,260,51,2,1,0,1,0,0,0,0,Vila Curuçá,sale,apartment,-23.5176403,-46.4289272,São Paulo
470000,630,38,1,2,1,1,1,1,1,0,Cambuci,sale,apartment,-23.570996,-46.625059,São Paulo
748000,826,84,3,3,1,1,0,0,0,0,Perdizes,sale,apartment,-23.540334,-46.67991,São Paulo
495000,540,64,3,2,1,2,0,0,0,0,Campo Grande,sale,apartment,-23.6581044,-46.6905018,São Paulo
219900,230,51,2,2,1,1,0,0,0,0,Vila Curuçá,sale,apartment,-23.5161002,-46.4286721,São Paulo
1890000,1200,150,4,4,3,3,1,0,1,0,Perdizes,sale,apartment,-23.532413,-46.67957,São Paulo
360100,0,61,3,2,0,1,1,0,1,1,Campo Belo,sale,apartment,-23.645035,-46.664654,São Paulo
1350000,1720,101,2,3,2,1,0,0,1,0,Itaim Bibi,sale,apartment,-23.5827952,-46.6815502,São Paulo
980000,1100,124,3,4,1,2,1,0,1,0,Vila Leopoldina,sale,apartment,-23.531284,-46.727652,São Paulo
165000,250,50,2,2,1,1,0,0,0,0,Itaim Paulista,sale,apartment,-23.479503,-46.379366,São Paulo
315000,300,67,3,2,1,1,0,0,1,0,Jaçanã,sale,apartment,-23.4686195,-46.5756279,São Paulo
1700000,1144,143,4,4,2,2,1,0,1,0,Perdizes,sale,apartment,-23.537575,-46.688952,São Paulo
850000,0,110,3,2,1,2,0,0,1,0,Vila Guilherme,sale,apartment,-23.5042489,-46.6009972,São Paulo
736000,780,60,2,2,1,2,1,0,1,0,Pinheiros,sale,apartment,-23.56868,-46.70023,São Paulo
290000,500,50,2,2,1,1,0,0,0,0,Cidade Ademar,sale,apartment,-23.668748,-46.673438,São Paulo
169000,0,40,2,2,1,1,0,0,0,0,Cidade Líder,sale,apartment,-23.556468,-46.513816,São Paulo
360000,0,50,2,2,1,1,1,0,0,0,Vila Mariana,sale,apartment,-23.584427,-46.627765,São Paulo
635000,920,98,3,2,1,2,0,0,1,0,Mooca,sale,apartment,-23.556851,-46.60435,São Paulo
159000,0,35,2,1,0,0,1,0,0,1,Cidade Líder,sale,apartment,-23.5053909,-46.6227832,São Paulo
1476000,2000,82,2,2,1,2,1,0,1,0,Vila Madalena,sale,apartment,-23.55505,-46.69321,São Paulo
201400,0,50,2,2,1,1,0,0,0,0,São Rafael,sale,apartment,-23.631982,-46.474931,São Paulo
212000,0,48,2,1,0,1,0,0,0,0,Itaquera,sale,apartment,0.0,0.0,São Paulo
295000,350,45,1,2,1,1,1,0,1,0,Brás,sale,apartment,-23.55166,-46.616213,São Paulo
1130000,1183,105,3,3,1,2,0,0,0,0,Alto de Pinheiros,sale,apartment,-23.538932,-46.716646,São Paulo
310000,500,78,3,2,1,1,1,1,0,0,Cangaíba,sale,apartment,-23.509447,-46.530638,São Paulo
169900,80,32,1,1,0,0,0,0,0,0,Artur Alvim,sale,apartment,0.0,0.0,São Paulo
369000,0,60,3,2,1,1,1,0,1,0,Mooca,sale,apartment,-23.556681,-46.591792,São Paulo
300000,0,78,2,1,0,0,0,0,0,0,Liberdade,sale,apartment,-23.5624819,-46.6385915,São Paulo
140000,0,53,2,1,0,1,0,0,0,0,Guaianazes,sale,apartment,0.0,0.0,São Paulo
250000,460,70,2,2,1,1,0,0,0,0,República,sale,apartment,-23.539593,-46.639654,São Paulo
565000,952,117,3,3,1,2,0,0,1,0,Vila Formosa,sale,apartment,-23.565767,-46.5566456,São Paulo
370000,430,70,3,2,1,1,0,1,0,0,Limão,sale,apartment,-23.500056,-46.679888,São Paulo
345000,500,64,1,2,1,1,0,0,0,0,Casa Verde,sale,apartment,-23.5066076,-46.666264,São Paulo
295000,532,54,2,2,1,1,1,1,1,0,Pirituba,sale,apartment,-23.482687,-46.740677,São Paulo
2000000,1100,177,3,2,1,1,1,1,0,0,República,sale,apartment,-23.5474029,-46.6429158,São Paulo
240000,250,54,2,1,0,1,0,0,0,0,Ponte Rasa,sale,apartment,-23.5154303,-46.4873764,São Paulo
420000,430,58,1,1,0,0,0,0,0,0,Santa Cecília,sale,apartment,-23.5389653,-46.652212,São Paulo
1390000,1621,190,4,4,1,1,1,0,0,0,Bela Vista,sale,apartment,-23.5645076,-46.6492665,São Paulo
500000,400,67,3,2,1,1,0,0,1,0,Jabaquara,sale,apartment,-23.6479055,-46.6360847,São Paulo
249000,320,63,2,1,0,1,1,0,0,0,Parque do Carmo,sale,apartment,-23.5685616,-46.4805711,São Paulo
2916530,0,225,3,4,3,3,0,0,0,0,Alto de Pinheiros,sale,apartment,-23.5422505,-46.7063216,São Paulo
165000,250,53,2,2,1,1,0,0,0,0,Guaianazes,sale,apartment,-23.564197,-46.409415,São Paulo
185000,180,56,2,2,1,1,0,0,0,0,Artur Alvim,sale,apartment,-23.542261,-46.486441,São Paulo
265000,315,35,1,1,0,0,0,0,0,0,Bela Vista,sale,apartment,-23.5603045,-46.6433549,São Paulo
425000,650,38,1,1,0,1,0,0,1,0,Consolação,sale,apartment,-23.5550042,-46.6538912,São Paulo
290000,350,50,2,2,1,1,1,0,1,0,Ponte Rasa,sale,apartment,-23.512746,-46.477783,São Paulo
6000000,3000,288,3,4,3,5,0,0,1,0,Moema,sale,apartment,-23.6102281,-46.6600813,São Paulo
620000,0,78,3,2,1,1,0,0,0,0,Pari,sale,apartment,-23.5270397,-46.6187001,São Paulo
325000,0,55,2,1,0,1,0,0,1,0,Vila Formosa,sale,apartment,-23.5743781,-46.5335084,São Paulo
295000,0,64,3,1,0,1,1,0,1,0,Ermelino Matarazzo,sale,apartment,-23.5035541,-46.4800686,São Paulo
399000,10,61,2,2,1,1,1,0,1,0,Vila Matilde,sale,apartment,-23.532272,-46.52405,São Paulo
140000,71,45,2,2,1,1,0,0,0,0,Itaim Paulista,sale,apartment,-23.518376,-46.390732,São Paulo
450000,400,75,3,2,1,2,1,0,0,0,São Lucas,sale,apartment,-23.592957,-46.546109,São Paulo
440000,0,63,3,2,1,1,0,0,1,0,Água Rasa,sale,apartment,-23.578094,-46.562798,São Paulo
249000,480,53,2,1,0,1,0,0,0,0,Vila Prudente,sale,apartment,-23.5934842,-46.5796348,São Paulo
1770000,2800,180,4,3,2,4,0,0,1,0,Brooklin,sale,apartment,-23.6100161,-46.6817975,São Paulo
320000,450,52,2,1,0,1,0,0,0,0,Tremembé,sale,apartment,-23.4572828,-46.6208532,São Paulo
427000,0,165,3,2,1,1,0,0,0,0,Capão Redondo,sale,apartment,-23.665942,-46.769471,São Paulo
563000,0,70,2,2,1,1,1,0,1,0,Liberdade,sale,apartment,-23.5621468,-46.6335596,São Paulo
910000,1100,135,3,3,1,1,1,0,1,0,Campo Belo,sale,apartment,-23.619222,-46.674575,São Paulo
207000,0,40,2,1,0,1,1,0,0,1,Vila Maria,sale,apartment,-23.518015,-46.609285,São Paulo
235000,350,58,2,2,1,1,0,0,0,0,Grajaú,sale,apartment,-23.772193,-46.668294,São Paulo
3022000,1000,183,4,3,2,4,0,0,1,0,Moema,sale,apartment,-23.6044021,-46.6681293,São Paulo
212000,330,46,2,2,1,1,1,0,1,0,Jardim Helena,sale,apartment,-23.531018,-46.439344,São Paulo
780000,780,93,3,3,1,2,1,1,1,0,Tatuapé,sale,apartment,-23.530626,-46.574534,São Paulo
316469,0,61,2,2,1,1,1,0,0,0,Sacomã,sale,apartment,-23.61389,-46.597086,São Paulo
2449400,0,250,4,5,4,4,1,0,1,0,Santo Amaro,sale,apartment,-23.626415,-46.696833,São Paulo
161987,0,43,2,2,1,1,0,0,0,0,Jardim Ângela,sale,apartment,-23.597539,-46.541124,São Paulo
239999,380,56,2,2,1,1,1,0,1,0,Sé,sale,apartment,-23.56941,-46.509531,São Paulo
190000,260,53,2,2,1,1,0,1,0,0,São Mateus,sale,apartment,-23.613292,-46.469028,São Paulo
350000,500,56,1,2,1,1,1,0,0,0,Santa Cecília,sale,apartment,-23.541884,-46.648065,São Paulo
450000,500,100,2,2,1,1,0,0,1,0,Brás,sale,apartment,-23.5457565,-46.6087521,São Paulo
679900,940,93,3,2,1,2,0,1,1,0,Casa Verde,sale,apartment,-23.5090541,-46.6597886,São Paulo
368000,458,66,2,2,1,0,0,0,1,0,Brás,sale,apartment,-23.5506964,-46.6181145,São Paulo
368000,480,70,2,1,0,0,0,0,0,0,República,sale,apartment,-23.5424963,-46.6386349,São Paulo
420000,0,71,3,2,1,2,1,0,1,0,Mooca,sale,apartment,-23.563045,-46.594365,São Paulo
550000,570,70,2,2,1,1,0,1,1,0,Água Rasa,sale,apartment,-23.556947,-46.572528,São Paulo
370000,270,56,2,2,1,1,1,0,1,0,Vila Formosa,sale,apartment,-23.569377,-46.541904,São Paulo
680000,650,81,3,2,1,2,1,1,1,0,Freguesia do Ó,sale,apartment,-23.492523,-46.69404,São Paulo
210000,290,56,3,2,1,1,0,0,1,0,São Miguel,sale,apartment,-23.509585,-46.446743,São Paulo
168000,189,46,2,2,1,1,0,0,0,0,Itaim Paulista,sale,apartment,-23.483159,-46.378916,São Paulo
807000,1488,105,3,3,1,1,1,0,0,0,Vila Olimpia,sale,apartment,-23.595104,-46.676923,São Paulo
775000,630,92,3,2,1,2,1,0,1,0,Casa Verde,sale,apartment,-23.500234,-46.6482104,São Paulo
470000,580,68,2,2,1,1,0,0,1,0,Jaraguá,sale,apartment,-23.523394,-46.645235,São Paulo
226100,100,47,2,2,1,1,1,0,0,0,Vila Jacuí,sale,apartment,-23.5018558,-46.4563858,São Paulo
280000,400,45,2,2,1,1,0,0,0,0,Jardim Ângela,sale,apartment,-23.604702,-46.524813,São Paulo
430000,570,45,1,1,0,1,0,0,0,0,Pinheiros,sale,apartment,-23.5631083,-46.6827667,São Paulo
680000,800,97,3,2,1,2,0,0,1,0,Bom Retiro,sale,apartment,-23.5192633,-46.6493232,São Paulo
380000,489,47,1,1,0,1,0,1,0,0,Bela Vista,sale,apartment,-23.5625097,-46.649393,São Paulo
1280000,1340,140,4,2,1,2,0,0,1,0,Brooklin,sale,apartment,-23.6115504,-46.6785318,São Paulo
700000,600,95,3,3,1,2,1,0,1,0,Belém,sale,apartment,-23.5289,-46.60231,São Paulo
190000,220,39,2,2,1,1,0,0,0,0,Capão Redondo,sale,apartment,-23.64494,-46.784481,São Paulo
438100,0,65,3,2,1,1,0,0,0,0,Belém,sale,apartment,-23.535721,-46.595133,São Paulo
186000,150,55,3,1,0,1,0,0,0,0,José Bonifácio,sale,apartment,-23.5471637,-46.4422208,São Paulo
1780000,2500,164,4,4,3,3,1,1,1,0,Vila Olimpia,sale,apartment,-23.598769,-46.679415,São Paulo
156800,150,41,2,1,0,1,0,0,0,0,Itaquera,sale,apartment,-23.5488184,-46.4562623,São Paulo
177000,0,38,1,2,1,1,1,0,0,0,Vila Matilde,sale,apartment,-23.536915,-46.520044,São Paulo
310000,485,55,2,1,0,1,0,0,1,0,Cangaíba,sale,apartment,-23.51105,-46.5427498,São Paulo
849800,1270,103,3,2,1,2,0,0,1,0,Perdizes,sale,apartment,-23.5373555,-46.679491,São Paulo
300000,380,48,2,1,0,1,0,0,1,0,Medeiros,sale,apartment,0.0,0.0,São Paulo
800000,1680,106,3,3,1,1,1,0,0,0,Bela Vista,sale,apartment,-23.566209,-46.645643,São Paulo
3750000,2567,274,3,2,3,4,1,0,1,0,Campo Belo,sale,apartment,-23.624841,-46.673925,São Paulo
550000,500,79,2,2,1,1,1,0,1,1,Mooca,sale,apartment,-23.580576,-46.586502,São Paulo
680000,437,74,2,2,1,1,0,0,1,0,Cidade Ademar,sale,apartment,-23.652013,-46.6703475,São Paulo
265000,350,52,2,2,1,1,0,0,0,0,Cangaíba,sale,apartment,-23.509447,-46.530638,São Paulo
420000,0,52,2,2,1,2,0,0,0,0,Tucuruvi,sale,apartment,-23.4765036,-46.6023993,São Paulo
530000,340,35,1,2,1,1,0,1,1,0,Consolação,sale,apartment,-23.5510254,-46.6553085,São Paulo
242629,0,60,2,2,1,1,1,0,1,0,Sacomã,sale,apartment,-23.617961,-46.596837,São Paulo
1240000,1318,106,3,4,3,2,1,0,1,0,Brooklin,sale,apartment,-23.610619,-46.687789,São Paulo
668000,600,74,2,2,1,1,1,0,1,1,Sé,sale,apartment,-23.574688,-46.707308,São Paulo
270000,370,54,2,1,0,1,0,0,0,0,Vila Formosa,sale,apartment,-23.5774643,-46.5253036,São Paulo
238000,340,50,2,1,0,1,1,0,0,0,Itaquera,sale,apartment,-23.5261701,-46.4470277,São Paulo
1100000,930,110,3,3,1,1,0,0,0,0,Iguatemi,sale,apartment,-23.585672,-46.681216,São Paulo
185000,0,50,2,2,1,1,1,0,0,0,Itaquera,sale,apartment,-23.550354,-46.453519,São Paulo
530000,730,81,3,2,1,2,0,0,0,0,Vila Formosa,sale,apartment,-23.5622118,-46.5371183,São Paulo
430000,770,70,2,2,1,2,1,1,1,0,Saúde,sale,apartment,-23.61964,-46.607232,São Paulo
450000,615,72,3,2,1,1,0,0,1,0,Campo Grande,sale,apartment,-23.6663858,-46.6814288,São Paulo
225000,350,47,2,2,1,1,1,0,0,0,Aricanduva,sale,apartment,-23.573407,-46.503064,São Paulo
390000,670,52,2,2,1,1,1,0,1,0,Cambuci,sale,apartment,-23.562625,-46.622129,São Paulo
361150,362,64,2,2,1,1,1,0,1,0,Sacomã,sale,apartment,-23.61389,-46.597086,São Paulo
210000,250,46,2,1,0,1,0,0,0,0,Campo Limpo,sale,apartment,-23.624015,-46.7575429,São Paulo
199000,300,48,2,1,0,1,0,0,1,0,Aricanduva,sale,apartment,0.0,0.0,São Paulo
315000,380,63,3,2,1,1,0,0,1,0,Cursino,sale,apartment,0.0,0.0,São Paulo
528726,0,67,2,2,1,1,1,0,1,0,Sacomã,sale,apartment,-23.619461,-46.59556,São Paulo
199000,296,37,2,1,0,0,0,0,1,0,São Mateus,sale,apartment,-23.6065807,-46.4715407,São Paulo
